zona;votos EDNA DA IZIDORA;ocupacao EDNA DA IZIDORA
39;103.0;0.19923371647509577
331;77.0;0.20161290322580644
334;42.0;0.12111801242236025
26;34.0;0.12396694214876033
31;33.0;0.10344827586206896
32;32.0;0.11462450592885376
27;28.0;0.09734513274336283
38;27.0;0.10150375939849623
35;26.0;0.08633093525179857
34;19.0;0.06440677966101695
33;18.0;0.08994708994708994
29;15.0;0.05928853754940711
332;13.0;0.04980842911877394
30;12.0;0.03875968992248062
37;12.0;0.0547945205479452
28;11.0;0.04065040650406504
333;5.0;0.015772870662460567
36;0.0;0.0
