zona;votos INDIRA XAVIER;ocupacao INDIRA XAVIER
31;202.0;0.4413793103448276
34;175.0;0.42033898305084744
32;165.0;0.45849802371541504
26;163.0;0.47520661157024796
333;159.0;0.3753943217665615
35;157.0;0.4028776978417266
334;156.0;0.3695652173913043
39;156.0;0.42911877394636017
33;155.0;0.5026455026455027
332;143.0;0.40229885057471265
29;135.0;0.391304347826087
331;131.0;0.34274193548387094
30;108.0;0.34108527131782945
27;104.0;0.36283185840707965
37;89.0;0.3287671232876712
28;85.0;0.27235772357723576
36;84.0;0.29596412556053814
38;84.0;0.2631578947368421
