zona;votos MARI FERNANDES;ocupacao MARI FERNANDES
26;197.0;0.5454545454545454
31;176.0;0.38275862068965516
32;157.0;0.4505928853754941
332;149.0;0.3946360153256705
29;148.0;0.42292490118577075
33;146.0;0.5238095238095238
34;145.0;0.3694915254237288
334;144.0;0.3416149068322981
35;144.0;0.39568345323741005
28;116.0;0.3333333333333333
30;107.0;0.3372093023255814
39;100.0;0.3103448275862069
27;92.0;0.3008849557522124
38;80.0;0.2593984962406015
331;72.0;0.23790322580645162
37;71.0;0.2831050228310502
333;52.0;0.15457413249211358
36;50.0;0.2062780269058296
