zona;votos ADRIEL DO MLB;votos EDNA DA IZIDORA;votos INDIRA XAVIER;votos MARI FERNANDES;votos UP;votos no partido
26;22.0;34.0;163.0;197.0;75.0;491.0
27;16.0;28.0;104.0;92.0;25.0;265.0
28;6.0;11.0;85.0;116.0;22.0;240.0
29;22.0;15.0;135.0;148.0;39.0;359.0
30;10.0;12.0;108.0;107.0;24.0;261.0
31;33.0;33.0;202.0;176.0;49.0;493.0
32;20.0;32.0;165.0;157.0;39.0;413.0
33;29.0;18.0;155.0;146.0;44.0;392.0
331;10.0;77.0;131.0;72.0;10.0;300.0
332;34.0;13.0;143.0;149.0;45.0;384.0
333;173.0;5.0;159.0;52.0;28.0;417.0
334;15.0;42.0;156.0;144.0;38.0;395.0
34;25.0;19.0;175.0;145.0;43.0;407.0
35;17.0;26.0;157.0;144.0;36.0;380.0
36;45.0;0.0;84.0;50.0;25.0;204.0
37;16.0;12.0;89.0;71.0;22.0;210.0
38;6.0;27.0;84.0;80.0;20.0;217.0
39;22.0;103.0;156.0;100.0;37.0;418.0
